fecha,zona_prov,w_mean
2007-07-01,CORRIENTES,1428
2007-07-01,ENTRE RIOS,1460
2007-07-01,FORMOSA,1400
2007-07-01,JUJUY,1642
2007-07-01,LA PAMPA,1493
2007-07-01,LA RIOJA,1501
2007-07-01,MENDOZA,1582
2007-07-01,MISIONES,1400
2007-07-01,NEUQUEN,2665
2007-07-01,RIO NEGRO,1777
2007-07-01,SALTA,1468
2007-07-01,SAN JUAN,1563
2007-07-01,SAN LUIS,1796
2007-07-01,SANTA CRUZ,3242
2007-07-01,SANTA FE,1747
2007-07-01,SANTIAGO DEL ESTERO,1322
2007-07-01,TIERRA DEL FUEGO,3042
2007-07-01,TUCUMAN,1393
2007-08-01,BUENOS AIRES,1901
2007-08-01,CAPITAL FEDERAL,2298
2007-08-01,CATAMARCA,1683
2007-08-01,CHACO,1401
2007-08-01,CHUBUT,3027
2007-08-01,CORDOBA,1660
2007-08-01,CORRIENTES,1435
2007-08-01,ENTRE RIOS,1501
2007-08-01,FORMOSA,1428
2007-08-01,JUJUY,1638
2007-08-01,LA PAMPA,1537
2007-08-01,LA RIOJA,1536
2007-08-01,MENDOZA,1642
2007-08-01,MISIONES,1434
2007-08-01,NEUQUEN,3081
2007-08-01,RIO NEGRO,1894
2007-08-01,SALTA,1534
2007-08-01,SAN JUAN,1595
2007-08-01,SAN LUIS,1819
2007-08-01,SANTA CRUZ,3548
2007-08-01,SANTA FE,1783
2007-08-01,SANTIAGO DEL ESTERO,1330
2007-08-01,TIERRA DEL FUEGO,3009
2007-08-01,TUCUMAN,1388
2007-09-01,BUENOS AIRES,1914
2007-09-01,CAPITAL FEDERAL,2339
2007-09-01,CATAMARCA,1660
2007-09-01,CHACO,1401
2007-09-01,CHUBUT,2888
2007-09-01,CORDOBA,1661
2007-09-01,CORRIENTES,1426
2007-09-01,ENTRE RIOS,1502
2007-09-01,FORMOSA,1422
2007-09-01,JUJUY,1598
2007-09-01,LA PAMPA,1565
2007-09-01,LA RIOJA,1556
2007-09-01,MENDOZA,1646
2007-09-01,MISIONES,1429
2007-09-01,NEUQUEN,2955
2007-09-01,RIO NEGRO,1852
2007-09-01,SALTA,1503
2007-09-01,SAN JUAN,1591
2007-09-01,SAN LUIS,1811
2007-09-01,SANTA CRUZ,3327
2007-09-01,SANTA FE,1789
2007-09-01,SANTIAGO DEL ESTERO,1334
2007-09-01,TIERRA DEL FUEGO,3112
2007-09-01,TUCUMAN,1380
2007-10-01,BUENOS AIRES,1988
2007-10-01,CAPITAL FEDERAL,2359
2007-10-01,CATAMARCA,1759
2007-10-01,CHACO,1469
2007-10-01,CHUBUT,2991
2007-10-01,CORDOBA,1734
2007-10-01,CORRIENTES,1518
2007-10-01,ENTRE RIOS,1526
2007-10-01,FORMOSA,1507
2007-10-01,JUJUY,1655
2007-10-01,LA PAMPA,1639
2007-10-01,LA RIOJA,1647
2007-10-01,MENDOZA,1680
2007-10-01,MISIONES,1511
2007-10-01,NEUQUEN,2951
2007-10-01,RIO NEGRO,1943
2007-10-01,SALTA,1576
2007-10-01,SAN JUAN,1696
2007-10-01,SAN LUIS,1924
2007-10-01,SANTA CRUZ,3398
2007-10-01,SANTA FE,1882
2007-10-01,SANTIAGO DEL ESTERO,1419
2007-10-01,TIERRA DEL FUEGO,3220
2007-10-01,TUCUMAN,1369
2007-11-01,BUENOS AIRES,1986
2007-11-01,CAPITAL FEDERAL,2375
2007-11-01,CATAMARCA,1738
2007-11-01,CHACO,1478
2007-11-01,CHUBUT,2976
2007-11-01,CORDOBA,1731
2007-11-01,CORRIENTES,1528
2007-11-01,ENTRE RIOS,1528
2007-11-01,FORMOSA,1476
2007-11-01,JUJUY,1682
2007-11-01,LA PAMPA,1627
2007-11-01,LA RIOJA,1645
2007-11-01,MENDOZA,1690
2007-11-01,MISIONES,1529
2007-11-01,NEUQUEN,2980
2007-11-01,RIO NEGRO,1905
2007-11-01,SALTA,1577
2007-11-01,SAN JUAN,1681
2007-11-01,SAN LUIS,1867
2007-11-01,SANTA CRUZ,3428
2007-11-01,SANTA FE,1854
2007-11-01,SANTIAGO DEL ESTERO,1417
2007-11-01,TIERRA DEL FUEGO,3303
2007-11-01,TUCUMAN,1469
2007-12-01,BUENOS AIRES,2894
2007-12-01,CAPITAL FEDERAL,3363
2007-12-01,CATAMARCA,2646
2007-12-01,CHACO,2168
2007-12-01,CHUBUT,4311
2007-12-01,CORDOBA,2579
2007-12-01,CORRIENTES,2279
2007-12-01,ENTRE RIOS,2317
2007-12-01,FORMOSA,2145
2007-12-01,JUJUY,2343
2007-12-01,LA PAMPA,2412
2007-12-01,LA RIOJA,2544
2007-12-01,MENDOZA,2397
2007-12-01,MISIONES,2230
2007-12-01,NEUQUEN,4169
2007-12-01,RIO NEGRO,2673
2007-12-01,SALTA,2237
2007-12-01,SAN JUAN,2491
2007-12-01,SAN LUIS,2875
2007-12-01,SANTA CRUZ,4788
2007-12-01,SANTA FE,2736
2007-12-01,SANTIAGO DEL ESTERO,2054
2007-12-01,TIERRA DEL FUEGO,4733
2007-12-01,TUCUMAN,2123
2008-01-01,BUENOS AIRES,2166
2008-01-01,CAPITAL FEDERAL,2561
2008-01-01,CATAMARCA,1856
2008-01-01,CHACO,1581
2008-01-01,CHUBUT,3327
2008-01-01,CORDOBA,1888
2008-01-01,CORRIENTES,1640
2008-01-01,ENTRE RIOS,1767
2008-01-01,FORMOSA,1549
2008-01-01,JUJUY,1658
2008-01-01,LA PAMPA,1821
2008-01-01,LA RIOJA,1731
2008-01-01,MENDOZA,1798
2008-01-01,MISIONES,1639
2008-01-01,NEUQUEN,3099
2008-01-01,RIO NEGRO,1853
2008-01-01,SALTA,1654
2008-01-01,SAN JUAN,1803
2008-01-01,SAN LUIS,2074
2008-01-01,SANTA CRUZ,3764
2008-01-01,SANTA FE,2048
2008-01-01,SANTIAGO DEL ESTERO,1508
2008-01-01,TIERRA DEL FUEGO,3129
2008-01-01,TUCUMAN,1630
2008-02-01,BUENOS AIRES,2089
2008-02-01,CAPITAL FEDERAL,2536
2008-02-01,CATAMARCA,1728
2008-02-01,CHACO,1567
2008-02-01,CHUBUT,3092
2008-02-01,CORDOBA,1859
2008-02-01,CORRIENTES,1602
2008-02-01,ENTRE RIOS,1735
2008-02-01,FORMOSA,1578
2008-02-01,JUJUY,1593
2008-02-01,LA PAMPA,1751
2008-02-01,LA RIOJA,1578
2008-02-01,MENDOZA,1765
2008-02-01,MISIONES,1589
2008-02-01,NEUQUEN,3099
2008-02-01,RIO NEGRO,2089
2008-02-01,SALTA,1607
2008-02-01,SAN JUAN,1720
2008-02-01,SAN LUIS,2020
2008-02-01,SANTA CRUZ,3504
2008-02-01,SANTA FE,1991
2008-02-01,SANTIAGO DEL ESTERO,1500
2008-02-01,TIERRA DEL FUEGO,3162
2008-02-01,TUCUMAN,1534
2008-03-01,BUENOS AIRES,2158
2008-03-01,CAPITAL FEDERAL,2567
2008-03-01,CATAMARCA,1733
2008-03-01,CHACO,1587
2008-03-01,CHUBUT,3226
2008-03-01,CORDOBA,1859
2008-03-01,CORRIENTES,1633
2008-03-01,ENTRE RIOS,1716
2008-03-01,FORMOSA,1577
2008-03-01,JUJUY,1674
2008-03-01,LA PAMPA,1771
2008-03-01,LA RIOJA,1538
2008-03-01,MENDOZA,1776
2008-03-01,MISIONES,1584
2008-03-01,NEUQUEN,3171
2008-03-01,RIO NEGRO,2160
2008-03-01,SALTA,1639
2008-03-01,SAN JUAN,1767
2008-03-01,SAN LUIS,2051
2008-03-01,SANTA CRUZ,3709
2008-03-01,SANTA FE,1996
2008-03-01,SANTIAGO DEL ESTERO,1527
2008-03-01,TIERRA DEL FUEGO,3249
2008-03-01,TUCUMAN,1500
2008-04-01,BUENOS AIRES,2250
2008-04-01,CAPITAL FEDERAL,2609
2008-04-01,CATAMARCA,1755
2008-04-01,CHACO,1660
2008-04-01,CHUBUT,3426
2008-04-01,CORDOBA,1953
2008-04-01,CORRIENTES,1706
2008-04-01,ENTRE RIOS,1802
2008-04-01,FORMOSA,1693
2008-04-01,JUJUY,1794
2008-04-01,LA PAMPA,1872
2008-04-01,LA RIOJA,1709
2008-04-01,MENDOZA,1871
2008-04-01,MISIONES,1675
2008-04-01,NEUQUEN,3335
2008-04-01,RIO NEGRO,2242
2008-04-01,SALTA,1793
2008-04-01,SAN JUAN,1856
2008-04-01,SAN LUIS,2154
2008-04-01,SANTA CRUZ,4079
2008-04-01,SANTA FE,2113
